ID,Term,Definition,Name,,,,,,,,,,,,,,,,,,,,,,
49,Photosynthesis and respiration are alike in that they both (1) require the Sun as a direct source of energy (2) result in the production of glucose molecules (3) require specific catalysts (4) occur within mitochondria,3,H Sci49,,,,,,,,,,,,,,,,,,,,,,
50,Nicotine is only one of the many toxic chemicals inhaled while smoking. What effect can such toxic chemicals have on the body? (1) They stimulate an increase in height. (2) They stimulate uncontrolled cell division. (3) They eliminate carbon dioxide from cells. (4) They eliminate chromosomes from many cells,2,H Sci50,,,,,,,,,,,,,,,,,,,,,,
51,What is a resistor,any object that resists the flow of electricity,H Sci51,,,,,,,,,,,,,,,,,,,,,,
52,Which process uses energy to combine inorganic molecules to synthesize organic molecules? (1) respiration (3) photosynthesis (2) digestion (4) decomposition,3,H Sci52,,,,,,,,,,,,,,,,,,,,,,
53, Which sequence best represents increasing complexity? (1) tissues → cells → organelles → organs (2) cells → organelles → organs → organism (3) organelles → cells → tissues → organs (4) organism → cells → tissues → organelles,3,H Sci53,,,,,,,,,,,,,,,,,,,,,,
54,What is an ampere?,the unit used to measure the amount of current that flows past a point in one second,H Sci54,,,,,,,,,,,,,,,,,,,,,,
55,The organisms in a pond and the physical factors influencing them best describe (1) a population (3) a biosphere (2) an ecosystem (4) a food chain,2,H Sci55,,,,,,,,,,,,,,,,,,,,,,
56,A student holds a book at rest in an outstretched hand. The force exerted on the book by the student is equal to the book’s: A)Mass B)Weight C)Volume D)Density.,B,H Sci56,,,,,,,,,,,,,,,,,,,,,,
57,Photosynthesis is important for almost all life on Earth because it — a. is responsible for most decay b. uses simple elements c. produces oxygen d. releases usable forms of nitrogen ,C,H Sci57,,,,,,,,,,,,,,,,,,,,,,
58,What characteristic do all living things share? a. They reproduce by mitosis. b. They are made up of many parts. c. They contain DNA. d. They need oxygen to survive. ,C,H Sci58,,,,,,,,,,,,,,,,,,,,,,
59,The surfaces of planet Mercury and our moon contain some very large craters that are most likely the result of: A)giant lava flows. B)asteroid impacts. C)nuclear explosions.D),B,H Sci59,,,,,,,,,,,,,,,,,,,,,,
60,Which of these functions most like the “brain” of a cell? a. The Golgi apparatus b. The mitochondrion c. The nucleus d. The smooth endoplasmic reticulum ,C,H Sci60,,,,,,,,,,,,,,,,,,,,,,
61,"After a building was torn down and the area was cleared, grasses began to grow in the area. Several years later, small bushes replaced the grasses. This pattern of plant growth is known as ecological (1) stability (3) succession (2) cultivation (4) coordination",3,H Sci61,,,,,,,,,,,,,,,,,,,,,,
62,A human activity that could significantly decrease the amount of carbon dioxide in the air is (1) increasing the use of fossil fuel (2) controlling insect pests that eat stored grain (3) burning garbage and trash to generate electricity (4) preserving and expanding forest habitats that shelter wildlife,4,H Sci62,,,,,,,,,,,,,,,,,,,,,,
63,"Deer ticks are responsible for spreading Lyme disease. This organism, which feeds on the blood of warm-blooded organisms like mice, deer, and humans, is best described as a (1) predator (3) parasite (2) scavenger (4) host",3,H Sci63,,,,,,,,,,,,,,,,,,,,,,
64,"Which cell structures are correctly paired with their functions? (1) The mitochondria produce enzymes, and ribosomes transport them. (2) The ribosomes make proteins, and the nucleus stores genetic information. (3) The cell membrane makes enzymes, and cytoplasm transports them. (4) The vacuole stores genetic information, and chloroplasts make proteins.",2,H Sci64,,,,,,,,,,,,,,,,,,,,,,
65,Which phrase describes the charge and mass of a neutron? (1) a charge of 1 and no mass (2) a charge of 1 and an approximate mass of 1 u (3) no charge and no mass (4) no charge and an approximate mass of 1 u,4,H Sci65,,,,,,,,,,,,,,,,,,,,,,
66,What is the number of electrons in a potassium atom? (1) 18 (3) 20 (2) 19 (4) 39,2,H Sci66,,,,,,,,,,,,,,,,,,,,,,
67,Which statement explains why water is classified as a compound? (1) Water can be broken down by chemical means. (2) Water is a liquid at room temperature. (3) Water has a heat of fusion of 334 J/g. (4) Water is a poor conductor of electricity,1,H Sci67,,,,,,,,,,,,,,,,,,,,,,
68,Which nuclear emission is negatively charged? (1) an alpha particle (3) a neutron (2) a beta particle (4) a positron,2,H Sci68,,,,,,,,,,,,,,,,,,,,,,
69,"Which list includes three forms of energy? (1) chemical, mechanical, electromagnetic (2) chemical, mechanical, temperature (3) thermal, pressure, electromagnetic (4) thermal, pressure, temperature",1,H Sci69,,,,,,,,,,,,,,,,,,,,,,
70,What is the proper name of the star that is most commonly noted to have coordinates closest to the north celestial pole? ,ANSWER: NORTH STAR (ACCEPT: POLARIS or ALPHA URSA MINORIS),H Sci70,,,,,,,,,,,,,,,,,,,,,,
71,What is the most well-known asterism in Ursa Major?, ANSWER: BIG DIPPER,H Sci71,,,,,,,,,,,,,,,,,,,,,,
72,What are the 2 basic categories of lymphocyte cells?, ANSWER: T AND B (ACCEPT: B AND T CELLS),H Sci72,,,,,,,,,,,,,,,,,,,,,,
73,What general type of bonding is found in molecules in which electrons are shared by nuclei? ,ANSWER: COVALENT,H Sci73,,,,,,,,,,,,,,,,,,,,,,
74,"Although not known as such at the time, what was the first form of spectacular electric discharge seen by humans? ",ANSWER: LIGHTNING,H Sci74,,,,,,,,,,,,,,,,,,,,,,
75,What planet is known to be most like Earth in size and density? ,ANSWER: VENUS,H Sci75,,,,,,,,,,,,,,,,,,,,,,
76,What star has the greatest apparent magnitude?,SUN,H Sci76,,,,,,,,,,,,,,,,,,,,,,
77, How many embryonic seed leaves does a bean seedling have?, ANSWER: 2,H Sci77,,,,,,,,,,,,,,,,,,,,,,
78,Name all of the following 5 plants that are dicots: wheat; geranium; garlic; bamboo; rose ,ANSWER: GERANIUM; ROSE,H Sci78,,,,,,,,,,,,,,,,,,,,,,
79,"In general, metals are relatively hard except for what group of metals in the Periodic Table? ",ANSWER: ONE (ACCEPT: GROUP 1A or ALKALI METALS),H Sci79,,,,,,,,,,,,,,,,,,,,,,
80,What gas is most directly responsible for the bends or decompression sickness that divers may experience?, ANSWER: NITROGEN (ACCEPT: N2),H Sci80,,,,,,,,,,,,,,,,,,,,,,
81,"In degrees Celsius to the nearest whole number, what is the normal core body temperature of a human being?", ANSWER: 37,H Sci81,,,,,,,,,,,,,,,,,,,,,,
82,What is the declination of the north celestial pole? ANSWER: 90 (ACCEPT: +9,ANSWER: 90 (ACCEPT: +90),H Sci82,,,,,,,,,,,,,,,,,,,,,,
83,The Sagittarius Arm is part of what galaxy? ,ANSWER: THE MILKY WAY,H Sci83,,,,,,,,,,,,,,,,,,,,,,
84,"Using the traditional system of classification, when organisms belong to the same class, name all of the following 4 taxonomic categories to which they must also belong: order; family; phylum; kingdom ",ANSWER: PHYLUM; KINGDOM,H Sci84,,,,,,,,,,,,,,,,,,,,,,
85,What is the genus name of the most thoroughly studied bacterium? ,ANSWER: Escherichia,H Sci85,,,,,,,,,,,,,,,,,,,,,,
86,Name all of the following 3 processes that do NOT occur in E. coli: glycolysis; photosynthesis; glycogenolysis (read as: GLYKO-jen-oh-LY-sis) ,ANSWER: PHOTOSYNTHESIS,H Sci86,,,,,,,,,,,,,,,,,,,,,,
87,What is the BEST term for the tendency of any mass at rest to remain at rest?, ANSWER: INERTIA,H Sci87,,,,,,,,,,,,,,,,,,,,,,
88,"What is the MOST common term for the type of energy that is most directly related to the energy of atoms, molecules and other small particles that are in random motion within a system? ",ANSWER: THERMAL,H Sci88,,,,,,,,,,,,,,,,,,,,,,
89,"In electrochemical cells, what is the most common term for the electrode that acts as the negative electrode?", ANSWER: CATHODE,H Sci89,,,,,,,,,,,,,,,,,,,,,,
90,"If the electronegativity difference in the bonding atoms is large, what general type of bond is formed? ",ANSWER: IONIC,H Sci90,,,,,,,,,,,,,,,,,,,,,,
91, What is the name for the common ocean waves that are not driven by the wind but sustained by the energy they obtained by the sea? ,ANSWER: SWELL(S),H Sci91,,,,,,,,,,,,,,,,,,,,,,
92,The local group is generally referred to as a collection of what celestial objects?, ANSWER: GALAXIES,H Sci92,,,,,,,,,,,,,,,,,,,,,,
93,What is the SI unit of electric charge? ,ANSWER: COULOMB,H Sci93,,,,,,,,,,,,,,,,,,,,,,
94,What is the name for the most malleable and ductile metal which can be dissolved in aqua regia but is unaffected by air and most other reagents? ,ANSWER: GOLD,H Sci94,,,,,,,,,,,,,,,,,,,,,,
95,What is the MOST common term for the division of a somatic cell into 2 nucleated cells following of mitosis? ,ANSWER: CYTOKINESIS,H Sci95,,,,,,,,,,,,,,,,,,,,,,
96,"What is the anticodon on a tRNA for AAA (read as: A, A, A)? ",ANSWER: UUU,H Sci96,,,,,,,,,,,,,,,,,,,,,,
97,The lush forest of the Pacific northwest is classified as what type of rain forest? ,ANSWER: TEMPERATE (ACCEPT: TEMPERATE RAIN FOREST),H Sci97,,,,,,,,,,,,,,,,,,,,,,
98,The reaction of lead oxide in the presence of what acid is fundamental to the operation of the lead-acid rechargeable battery found in most cars? ,ANSWER: SULFURIC ACID (ACCEPT: SULFURIC or H2SO4),H Sci98,,,,,,,,,,,,,,,,,,,,,,
99,The main asteroid belt is located immediately between what two planets? ,ANSWER: MARS AND JUPITER (in any order),H Sci99,,,,,,,,,,,,,,,,,,,,,,
100,What is the most common term used to describe the velocity of an object at any one discrete moment along its path? ,ANSWER: INSTANTANEOUS VELOCITY,H Sci100,,,,,,,,,,,,,,,,,,,,,,
101,What lepton was the first to be discovered?, ANSWER: ELECTRON,H Sci101,,,,,,,,,,,,,,,,,,,,,,
102,"Identify the following 3 fabrics as derived from animals or plants, respectively: jute; linen; wool ",ANSWER: JUTE = PLANTS; LINEN = PLANTS; WOOL = ANIMALS,H Sci102,,,,,,,,,,,,,,,,,,,,,,
103,What is the proper name for the closest spiral galaxy to the Milky Way? ,ANSWER: ANDROMEDA,H Sci103,,,,,,,,,,,,,,,,,,,,,,
104,"In one cycle of alternating current, 180º is given to the point at what fractional amount of the way through the cycle? ","ANSWER: ½,( 1/2)",H Sci104,,,,,,,,,,,,,,,,,,,,,,
105,What is the common name for the 88 sections into which the International Astronomical Society has divided the sky? ,ANSWER: CONSTELLATIONS,H Sci105,,,,,,,,,,,,,,,,,,,,,,
106,What is the scientific term given to the shape of the E. coli bacterium?, ANSWER: BACILLUS (ACCEPT: ROD or BACILLI or BACILLIFORM),H Sci106,,,,,,,,,,,,,,,,,,,,,,
107,What is the molarity of a sodium hydroxide solution made by dissolving 4 grams NaOH in 250 milliliters of water?, ANSWER: 0.4,H Sci107,,,,,,,,,,,,,,,,,,,,,,
108,What is the most common name of the protein that synthesizes DNA? ,ANSWER: DNA POLYMERASE (ACCEPT: POLYMERASE),H Sci108,,,,,,,,,,,,,,,,,,,,,,
109,What is the main respiratory pigment of skeletal muscle cells? ,ANSWER: MYOGLOBIN,H Sci109,,,,,,,,,,,,,,,,,,,,,,
110,Give by name or number all of the following 4 choices that would be considered units of electrical power: 1) ampere volt; 2) joules per second; 3) watts; 4) coulombs, ANSWER: 1; 2; 3,H Sci110,,,,,,,,,,,,,,,,,,,,,,
111,Which situation is an example of bivariate data? (1) shoe sizes of a tennis team (2) goals scored in soccer games (3) Calories consumed in one day (4) hours studying compared to test scores,4,H Mth111,,,,,,,,,,,,,,,,,,,,,,
112,A ______ is a number that divides into another number with no remainder. ,Factor,H Mth112,,,,,,,,,,,,,,,,,,,,,,
113,A flying disc in the shape of a circle has a circumference of 8π inches. What is the radius of the flying disc? A)4 inches B)8 inches C)16 inches D)64 inches,A,H Mth113,,,,,,,,,,,,,,,,,,,,,,
114,A _______ _______ has only two factors ,Prime Number,H Mth114,,,,,,,,,,,,,,,,,,,,,,
115,A composite number has more than _____ factors,2,H Mth115,,,,,,,,,,,,,,,,,,,,,,
116,hat is the value of n in the equation 0.2(n- 6)= 2.8? ,20,H Mth116,,,,,,,,,,,,,,,,,,,,,,
117,Identify which of these is a composite number: 7 or 12 ,12,H Mth117,,,,,,,,,,,,,,,,,,,,,,
118,The ________ _________ is formed by a horizontal number line (known as the x-axis) and a vertical number line ( known as the y-axis), Coordinate Plane,H Mth118,,,,,,,,,,,,,,,,,,,,,,
119,The point where the x and y axes intersect is called the _________.,Origin ,H Mth119,,,,,,,,,,,,,,,,,,,,,,
120,How many different seven-letter arrangements of the letters in the word HEXAGON can be made if each letter is used only once? (1) 28 (3) 720 (2) 49 (4) 5040,4,H Mth120,,,,,,,,,,,,,,,,,,,,,,
121,"6 Which set of numbers represents the lengths of the sides of a right triangle? (1) {7, 24, 25} (3) {10, 12, 14} (2) {9, 16, 23} (4) {14, 16, 18}",1,H Mth121,,,,,,,,,,,,,,,,,,,,,,
122,What is the greatest common factor of 12 and 24,12,H Mth122,,,,,,,,,,,,,,,,,,,,,,
123,Two numbers are _______ if their product is 1.,Rciprocal,H Mth123,,,,,,,,,,,,,,,,,,,,,,
124,"If A {1,2,3,4,5,6,7,8} and B {2,4,6,8,10,12}, then the intersection computations. of these two sets is (1) {10,12} (3) {2,4,6,8} (2) {1,3,5,7} (4) {1,2,3,4,5,6,7,8,10,12}",3,H Mth124,,,,,,,,,,,,,,,,,,,,,,
125,Which set of data is qualitative? (1) laps swum in a race (2) number of swimmers on the team (3) swimmers’ favorite swimsuit colors (4) temperature in Fahrenheit of the water in a pool,3,H Mth125,,,,,,,,,,,,,,,,,,,,,,
126,The multiplicative inverse of 5 is,5-Jan,H Mth126,,,,,,,,,,,,,,,,,,,,,,
127,"A two-dimensional cross section is taken of a three-dimensional object. If this cross section is a triangle, what can not be the threedimensional object? (1) cone (3) pyramid (2) cylinder (4) rectangular prism",2,H Mth127,,,,,,,,,,,,,,,,,,,,,,
128,"The weights of 40 students were recorded. If the 75th percentile of their weights was 140 pounds, what is the total number of students who weighed more than 140 pounds? (1) 10 (3) 30 (2) 20 (4) 4",1,H Mth128,,,,,,,,,,,,,,,,,,,,,,
129,"A student spent 15 minutes painting a 2-foot by 3-foot bulletin board. To the nearest tenth of a minute, how long did it take the student to paint 1 square foot?",25,H Mth129,,,,,,,,,,,,,,,,,,,,,,
130,A ______ is an expression written with an exponent and a base.,Power,H Mth130,,,,,,,,,,,,,,,,,,,,,,
131,"In y=mx+b, what does the m stand for?",The m stands for the slope.,H Mth131,,,,,,,,,,,,,,,,,,,,,,
132,"The base of a closed right circular cylinder has a diameter of 5 cm. If the height of the cylinder is 8 cm, what is the surface area of the cylinder, to the nearest square centimeter?",165,H Mth132,,,,,,,,,,,,,,,,,,,,,,
133,The set of integers is not closed for (1) division (3) addition (2) multiplication (4) subtraction,1,H Mth133,,,,,,,,,,,,,,,,,,,,,,
134,"For a class of students, which data set could be classified as qualitative? (1) political opinions (3) weights (2) heights (4) ages",1,H Mth134,,,,,,,,,,,,,,,,,,,,,,
135,"In y=mx+b, what does the b stand for?",The b stands for the y intercept,H Mth135,,,,,,,,,,,,,,,,,,,,,,
136,The square of a positive number is 24 more than 5 times the number. What is the value of the number?,3,H Mth136,,,,,,,,,,,,,,,,,,,,,,
137,"In a class, which data can be classified as qualitative? (1) age of students (3) shoe size of students (2) weight of students (4) hair color of students",4,H Mth137,,,,,,,,,,,,,,,,,,,,,,
138,"Owino gets paid $280 per week plus 5% commission on all sales for selling electronic equipment. If he sells n dollars worth of electronic equipment in one week, which algebraic expression represents the amount of money he will earn that week? (1) 280n  5 (3) 280  0.05n
(2) 280n  0.05 (4) 280  5n
40",3,H Mth138,,,,,,,,,,,,,,,,,,,,,,
139,A positive correlation always exists on a scatter plot when (1) y remains unchanged as x increases (2) y changes randomly as x increases (3) y decreases as x increases (4) y increases as x increases,4,H Mth139,,,,,,,,,,,,,,,,,,,,,,
140,"Jose wants to ride his bike a total of 50 miles this weekend. If he rides m miles on Saturday, which expression represents the number of miles he must ride on Sunday? (1) m - 50 (3) 50 - m (2) m + 50 (4) 50m",3,H Mth140,,,,,,,,,,,,,,,,,,,,,,
141,"Sheba opened a retirement account with $36,500. Her account grew at a rate of 7% per year compounded annually. She made no deposits or withdrawals on the account. At the end of 20 years, what was the account worth, to the nearest dollar? (1) $87,600 (3) $141,243 (2) $130,786 (4) $1,483,444,463",3,H Mth141,,,,,,,,,,,,,,,,,,,,,,
142,"It takes a snail 500 hours to travel 15 miles. At this rate, how many hours will it take the snail to travel 6 miles?",200,H Mth142,,,,,,,,,,,,,,,,,,,,,,
143,"A rectangular tank measures 5 feet long, 4 feet wide, and 3 feet high. Water is poured into the tank to a depth of 2 feet. How many cubic feet of water are in the tank?",50,H Mth143,,,,,,,,,,,,,,,,,,,,,,
144,Which relationship can best be described as causal? (1) The alarm goes off and the sun rises. (2) The car is moving slowly and the driver is singing. (3) The snow is falling and the stores run out of snow shovels. (4) The birds are chirping and the rain is coming down.,3,H Mth144,,,,,,,,,,,,,,,,,,,,,,
145,"A local government is planning to increase the fee for use of a campsite. If a survey were taken, which group would be most biased in their opposition to the increase? (1) teachers (3) postal workers (2) soccer players (4) campers",4,H Mth145,,,,,,,,,,,,,,,,,,,,,,
146,"Which relation is a function? (1) {(2,1), (3,1), (4,1), (5,1)} (2) {(1,2), (1,3), (1,4), (1,5)} (3) {(2,3), (3,2), (4,2), (2,4)} (4) {(1,6), (2,8), (3,9), (3,12)}",1,H Mth146,,,,,,,,,,,,,,,,,,,,,,
147,"The lengths of the sides of a right triangle can be (1) 9, 12, 15 (3) 5, 5, 10 (2) 8, 10, 13 (4) 4, 5, 6",1,H Mth147,,,,,,,,,,,,,,,,,,,,,,
148,"A school offers three classes of math and two classes of science, all of which meet at different times. What is the total number of ways a student can take a math class and a science class? (1) 5 (3) 8 (2) 6 (4) 9",2,H Mth148,,,,,,,,,,,,,,,,,,,,,,
149,"Jake measured the dimensions of a rectangular picture frame to the nearest inch. He found that the height was 16 inches and the width was 10 inches. Based on Jake’s measurements, which of the following statements could be true?  (A)The actual width of the picture frame is 9.4 inches. (B) The actual height of the picture frame is 16.5 inches.  (C)",C,H Mth149,,,,,,,,,,,,,,,,,,,,,,
150,"Kathy is a repair technician for a phone company. Each week, she receives a batch of phones that need repairs. The number of phones that she has left to fix at the end of each day can be estimated with the equation P d = 108 − 23 , where P is the number of phones left and d is the number of days she has worked that week. What is the meaning of the value 108 in this equation? (A) Kathy will complete the repairs within 108 days. (B) Kathy starts each week with 108 phones to fix.  (C)Kathy repairs phones at a rate of 108 per hour. (D)Kathy repairs phones at a rate of 108 per day",B,H Mth150,,,,,,,,,,,,,,,,,,,,,,
151,"On Saturday afternoon, Armand sent m text messages each hour for 5 hours, and Tyrone sent p text messages each hour for 4 hours.  Which of the following represents the total number of messages sent by Armand and Tyrone on Saturday afternoon? (A) 9mp (B)20mp (C)5 +4 m p (D)4 +5 m p",C,H Mth151,,,,,,,,,,,,,,,,,,,,,,
152,What term BEST describes 2 angles with 90º as the sum of their measurements?, ANSWER: COMPLEMENTARY,H Mth152,,,,,,,,,,,,,,,,,,,,,,
153,How many significant figures are in the number 0.00750?, ANSWER: 3,H Mth153,,,,,,,,,,,,,,,,,,,,,,
154,"What is the area, in square feet, of a triangle whose perpendicular height is 20 feet with a base of 12 feet?", ANSWER: 120,H Mth154,,,,,,,,,,,,,,,,,,,,,,
155,A hexadecimal number is a numeral system with a radix or a base of what? ,ANSWER: 16,H Mth155,,,,,,,,,,,,,,,,,,,,,,
156,"Giving your answer in kilometers per hour per second, what is the average acceleration of a truck traveling on a straight road from 10 kilometers per hour to 50 kilometers per hour in 1 minute and 20 seconds: ",ANSWER: 0.5 (Solution: 40/80 = 0.5 km/hr/sec),H Mth156,,,,,,,,,,,,,,,,,,,,,,
157,"Giving your answer as a proper fraction, what is the cube root of 125/343?",ANSWER: 5/7,H Mth157,,,,,,,,,,,,,,,,,,,,,,
